original_hm,target
"yesterday we went to one craft village in our place, it was beautifully maintained and well furnished, the evening we spent there gave us real happy moments",enjoy_the_moment
I watched a good movie on Netflix last night,leisure
my son told me  he will take 100 percent score mark his board exam.,affection
My daughter and I started texting again.,affection
"I don't leave the house much, other than work, as my friends live kind of far from me. A few weeks ago my best freind surprised me by coming over to get me some fresh air and hang out for the day, I haven't seen him in almost a month so the time spent was really special.  ",bonding
I was called to speak at a big event.,achievement
My husband woke me up this morning with a nice back rub and coffee in bed. ,affection
When I got paid on Friday morning.,achievement
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement",affection
"Getting my paycheck, and it had a nice bonus.",achievement
I got a raise at work in celebration of my one year anniversary.,achievement
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,",achievement
My fiancee and our two dogs were all lying in bed comfortably. I watched them just lie there for a couple minutes before going to bed myself.,affection
"Last week my two year old looked up at me and said, ""I wuv you"" for the first time. ",affection
"Each and everyone of us has a story to tell and share to others, life stories that may serve as an inspiration to other people. Every individual may have a life experience or a moment in his or her life that somehow greatly affects his or her whole life. We often share our own triumphs and travails, our victories and defeats, our happiness and despair that bring alterations to the present life situations. My story began as an ordinary boy in the state of Ferndale, Michigan. I am the youngest of five siblings, a son of Sazelia and Marvin Johnson.

My mother was a university woman who tries to acquire a bachelor's degree in Business at the University of Michigan. My father was a Mechanical Engineer who is deeply fascinated with cars. My parents are intellectual and social creatures who passed down the essential values of hard work, education and religion to their children. They make sure that we are not deprived of the essential things that we need in our education. They also impart important attitudes and ethical standards needed in conforming well to our social environment. My siblings and I grew up in happy and complete family that upholds education as the main key to success.",affection
I completed a solo design project at work that was well received by my bosses and the client.,achievement
Last night my brother gift me silver chain on my birthday occasion its happiest event for me.,affection
I finally got to speak to my boyfriend over the phone. I rarely get to as he is busy with work and we are in a long-distance relationship. ,affection
I went to a movie along with my friends.,bonding
Playing a game of volleyball.,exercise
I won $70 in gift cards. ,achievement
Stretching and relaxing with my boyfriend.,affection
I got to sleep in an extra hour this morning. ,enjoy_the_moment
My daughter played great at her soccer game.,achievement
I bought a car.,achievement
I took a really nice nap while the air conditioner was on and woke up feeling very refreshed.,enjoy_the_moment
Yesterday I picked my dog up from the animal hospital after a week of not seeing him. I was happy to see that he was excited to see me as well. ,affection
